"Composer","DOB"
"Kamilló Lendvay","1928"
"Alfonso Leng","1894"
"Nicholas Lens","1957"
"James Lentini","1958"
"Stefano Lentini","1974"
"Georges Lentz","1965"
"Julius Lenzberg","1878"
"Leonardo Leo","1694"
"Isabella Leonarda","1620"
"Ruggiero Leoncavallo","1857"
"Franco Leoni","1864"
"Léonin","1150s"
"Mykola Leontovych","1877"
"Leopold I","1640"
"Wassili Leps","1870"
"Fred Lerdahl","1943"
"Xavier Leroux","1863"
"Theodor Leschetizky","1830"
"Henry David Leslie","1822"
"Franciszek Lessel","1780"
"Oscar Levant","1906"
"Richard Leveridge","1670"
"Michaël Lévinas","1949"
"Marvin David Levy","1932"
"David Lewin","1933"
"Frank Lewin","1925"
"Andrew Lewis","1936"
"Jeffrey Lewis","1942"
"Ignace Leybach","1817"
"Georg Dietrich Leyding","1664"
"Ulrich Leyendecker","1946"
"Jean L'Heritier","1480"
"Fran Lhotka","1883"
"Reginaldus Libert","1425"
"Johann Georg Lickl","1769"
"Cristiano Giuseppe Lidarti","1730"
"Jorge Liderman","1957"
"Ingvar Lidholm","1921"
"Lowell Liebermann","1961"
"Peter Lieberson","1946"
"Rolf Liebermann","1910"
"Clement Liebert","1433"
"Thurlow Lieurance","1878"
"György Ligeti","1923"
"Douglas Lilburn","1915"
"Ingemar Liljefors","1906"
"Ruben Liljefors","1871"
"Giuseppe Lillo","1814"
"Liza Lim","1966"
"Adrien Limagne","1821"
"Johannes de Limburgia","1408"
"Limenius","128 BC"
"Armand Limnander","1814"
"Paul Lincke","1866"
"Magnus Lindberg","1958"
"Nils Lindberg","1933"
"Oskar Lindberg","1887"
"Adolf Fredrik Lindblad","1801"
"Otto Lindblad","1809"
"Bo Linde","1933"
"Hans-Martin Linde","1930"
"Pär Lindgren","1952"
"Eugen Lindner","1858"
"Peter Josef von Lindpaintner","1791"
"Jukka Linkola","1955"
"Thomas Linley the elder","1733"
"Thomas Linley the younger","1756"
"George Linley","1798"
"George Linstead","1908"
"Guy de Lioncourt","1885"
"Karol Lipiński","1790"
"Marijan Lipovšek","1910"
"Vatroslav Lisinski","1819"
"Claude Joseph Rouget de Lisle","1760"
"Franz Liszt","1811"
"Gaston Litaize","1909"
"Antonio de Literes","1673"
"Henry Charles Litolff","1818"
"Giulio Litta","1822"
"Ricardo Llorca","1962"
"George Lloyd","1913"
"Andrew Lloyd Webber","1948"
"William Lloyd Webber","1914"
"Johann Christian Lobe","1797"
"Alonso Lobo","1555"
"Duarte Lobo","1565"
"Elias Álvares Lôbo","1834"
"Pietro Locatelli","1695"
"Matthew Locke","1621"
"Dan Locklair","1949"
"Normand Lockwood","1906"
"Edward Loder","1813"
"Charles Martin Loeffler","1861"
"Jacques Loeillet","1685"
"Jean-Baptiste Loeillet de Ghent","1688"
"Jean-Baptiste Loeillet of London","1680"
"Frank Loesser","1910"
"Theo Loevendie","1930"
"Johann Carl Gottfried Loewe","1796"
"Nicola Bonifacio Logroscino","1698"
"Martin Lohse","1971"
"Otto Lohse","1858"
"Marvin Peterson","1948"
"Antonio Lolli","1725"
"Ruth Lomon","1930"
"Alessandro Longo","1864"
"Paolo Longo","1967"
"Antoine de Longueval","1498"
"Harvey Worthington Loomis","1865"
"Fernando Lopes-Graça","1906"
"Francisco Lopez Capillas","1615"
"Esteban López Morago","1575"
"Jimmy Lopez","1978"
"Richard Loqueville","1410"
"Bent Lorentzen","1935"
"Paolo Lorenzani","1640"
"Oscar Lorenzo Fernândez","1897"
"Albert Lortzing","1801"
"Jan Antonín Losy","1650"
"Mark Lothar","1902"
"Antonio Lotti","1667"
"Ivana Loudová","1941"
"Alexina Louie","1949"
"Arthur Lourié","1892"
"Samuel Lover","1797"
"Adriano Lualdi","1885"
"Bertram Luard-Selby","1853"
"Vincent Lübeck","1654"
"Charles Lucas","1808"
"Clarence Lucas","1866"
"Leighton Lucas","1903"
"Arjen Anthony Lucassen","1960"
"Andrea Luchesi","1741"
"Alvin Lucier","1931"
"Nicholas Ludford","1490"
"Otto Luening","1900"
"Alexandre Luigini","1850"
"Ivan Lukačić","1587"
"Zdeněk Lukáš","1928"
"Giovanni Lorenzo Lulier","1662"
"Jean-Baptiste Lully","1632"
"Jean-Louis Lully","1667"
"Louis Lully","1664"
"Hans Christian Lumbye","1810"
"Johannes Lupi","1506"
"Ambrose Lupo","1539"
"Thomas Lupo the elder","1571"
"Filippo de Lurano","1470"
"Vicente Lusitano","1551"
"Witold Lutosławski","1913"
"Elizabeth Lutyens","1906"
"Meyer Lutz","1829"
"Arkady Luxemburg","1939"
"Carolus Luython","1557"
"Luzzasco Luzzaschi","1545"
"Alexei Lvov","1798"
"Anatoly Lyadov","1855"
"Sergei Lyapunov","1859"
"Boris Lyatoshinsky","1895"
"Ralph Lyford","1882"
"Mykola Lysenko","1842"
"Stanyslav Lyudkevych","1879"
"Ma Sicong","1912"
"Lorin Maazel","1930"
"Teodulo Mabellini","1817"
"Hamish MacCunn","1868"
"Edward MacDowell","1860"
"José Maceda","1917"
"Teo Macero","1925"
"Manuel Machado","1590"
"Sergio Machado","1963"
"Peter Machajdik","1961"
"Guillaume de Machaut","1300"
"François-Bernard Mâche","1935"
"Le Sieur de Machy","1692"
"Alexander Mackenzie","1847"
"John Mackey","1973"
"Steven Mackey","1956"
"James MacMillan","1959"
"Elizabeth Maconchy","1907"
"Robin Maconie","1942"
"Giovanni de Macque","1549"
"Bruno Maderna","1920"
"Leevi Madetoja","1887"
"Filipe da Madre de Deus","1630"
"Jef Maes","1905"
"Filipe de Magalhães","1571"
"Frederik Magle","1977"
"Albéric Magnard","1865"
"Désiré Magnus","1828"
"Janet Maguire","1927"
"Ernst Mahle","1929"
"Gustav Mahler","1860"
"Mesías Maiguashca","1938"
"Jean Maillard","1515"
"Aimé Maillart","1817"
"Martin Mailman","1932"
"Giorgio Mainerio","1535"
"Philipp Maintz","1977"
"Gian Francesco de Majo","1732"
"Giuseppe de Majo","1697"
"Kiril Makedonski","1925"
"Andreas Makris","1930"
"Abertijne Malcourt","1470"
"Pierre van Maldere","1729"
"Paul de Maleingreau","1887"
"Dmitry Malikov","1970"
"Gian Francesco Malipiero","1882"
"Riccardo Malipiero","1914"
"Otto Malling","1848"
"Gui Mallon","1953"
"Pierre de Manchicourt","1510"
"Francesco Mancini","1672"
"Henry Mancini","1924"
"Francesco Manelli","1594"
"Francesco Manfredini","1684"
"Franco Mannino","1924"
"Philippe Manoury","1952"
"Tigran Mansurian","1939"
"Jaakko Mäntyjärvi","1963"
"Paul Manz","1919"
"Marco Marazzoli","1602"
"Marin Marais","1656"
"Roland Marais","1685"
"Alessandro Marcello","1669"
"Benedetto Marcello","1686"
"Louis Marchand","1669"
"Filippo Marchetti","1831"
"Anthony Marinelli","1959"
"Christian Marclay","1955"
"Czesław Marek","1891"
"Luca Marenzio","1553"
"Franco Margola","1908"
"Maria Antonia Walpurgis of Bavaria","1724"
"Dario Marianelli","1963"
"José Marín","1618"
"Biagio Marini","1594"
"Igor Markevitch","1912"
"Miklós Maros","1943"
"Arturo Márquez","1950"
"Heinrich Marschner","1795"
"John Marsh","1752"
"Henri Marteau","1874"
"François Martin","1727"
"Frank Martin","1890"
"Philip Martin","1947"
"Vicente Martin y Soler","1754"
"Marianna Martines","1744"
"Giovanni Battista Martini","1706"
"Jean Paul Egide Martini","1741"
"Johannes Martini","1430"
"Donald Martino","1931"
"Bohuslav Martinů","1890"
"Steve Martland","1959"
"Giuseppe Martucci","1856"
"Vladimir Martynov","1946"
"Joseph Marx","1882"
"Karl Marx","1897"
"Eduard Marxsen","1806"
"Pietro Mascagni","1863"
"David Maslanka","1943"
"Daniel Gregory Mason","1873"
"William Mason","1829"
"Paola Massarenghi","1565"
"Jean-Baptiste Masse","1700"
"Victor Massé","1822"
"Jules Massenet","1842"
"Gérard Masson","1936"
"Lovro von Matačić","1899"
"Johannes Matelart","1538"
"William Mathias","1934"
"André Mathieu","1929"
"Yoritsune Matsudaira","1907"
"Teizo Matsumura","1929"
"Nicola Matteis","1670"
"Matteo da Perugia","1400"
"Johann Mattheson","1681"
"Colin Matthews","1946"
"Siegfried Matthus","1934"
"Peter Matz","1928"
"Rudolf Mauersberger","1889"
"John Henry Maunder","1858"
"Nicholas Maw","1935"
"Colin Mawby","1936"
"Frederick May","1911"
"Emilie Mayer","1812"
"John Maynard","1577"
"Ascanio Mayone","1565"
"Rupert Ignaz Mayr","1646"
"Simon Mayr","1763"
"Toshiro Mayuzumi","1929"
"Jacques Féréol Mazas","1782"
"Domenico Mazzocchi","1592"
"Virgilio Mazzocchi","1597"
"Giovanni Mazzuoli","1360"
"John McCabe","1939"
"John Blackwood McEwen","1868"
"Peter McGarr","1953"
"John McGuire","1942"
"Rod McKuen","1933"
"Richard Meale","1932"
"Kirke Mechem","1925"
"Tilo Medek","1940"
"Johann Valentin Meder","1649"
"Nikolai Medtner","1880"
"Étienne Méhul","1763"
"Johan de Meij","1953"
"Alessandro Melani","1639"
"Jacopo Melani","1623"
"Erkki Melartin","1875"
"Diogo Dias Melgás","1638"
"Fanny Mendelssohn","1805"
"Felix Mendelssohn","1809"
"Manuel Mendes","1547"
"Rosendo Mendizábal","1868"
"Martin-Joseph Mengal","1784"
"Alan Menken","1949"
"Peter Mennin","1923"
"Gian Carlo Menotti","1911"
"Sophie Menter","1846"
"John Merbecke","1505"
"Saverio Mercadante","1795"
"Amédée Méreaux","1802"
"Nicolas-Jean Lefroid de Méreaux","1745"
"Aarre Merikanto","1893"
"Oskar Merikanto","1868"
"Gustav Merkel","1827"
"Maceo Merriweather","1905"
"Wim Mertens","1953"
"Johann Kaspar Mertz","1806"
"Tarquinio Merula","1594"
"Claudio Merulo","1533"
"René Mesangeau","1567"
"André Messager","1853"
"Guilielmus Messaus","1589"
"Olivier Messiaen","1908"
"Ludwig Mestler","1891"
"Josep Mestres Quadreny","1929"
"Edgar Meyer","1960"
"Ernst Hermann Meyer","1905"
"Giacomo Meyerbeer","1791"
"Adam Václav Michna z Otradovic","1600"
"Richard Mico","1590"
"Wilhelm Middelschulte","1863"
"Marcin Mielczewski","1600"
"Oreste Migliaccio","1882"
"Francisco Mignone","1897"
"Marcel Mihalovici","1898"
"Minoru Miki","1930"
"Luis de Milán","1500"
"Francesco Canova da Milano","1497"
"Carlo Milanuzzi","1590"
"Robin Milford","1903"
"Darius Milhaud","1892"
"Carl Millöcker","1842"
"Nicolas Millot","1559"
"Richard Mills","1949"
"Leon Milo","1956"
"Georgi Minchev","1936"
"Charles Mingus","1922"
"Ludwig Minkus","1826"
"Ambrogio Minoja","1752"
"Guillaume Minoret","1650"
"Lin-Manuel Miranda","1980"
"Dimitri Mitropoulos","1896"
"Dary John Mizelle","1940"
"Hajime Mizoguchi","1960"
"Eric Moe","1954"
"Ernest John Moeran","1894"
"Stevan Stojanović Mokranjac","1856"
"Bernhard Molique","1802"
"Simone Molinaro","1570"
"John Christopher Moller","1755"
"Johann Melchior Molter","1696"
"Jérôme-Joseph de Momigny","1762"
"Fred Momotenko","1970"
"Federico Mompou","1893"
"David Monacchi","1970"
"José Pablo Moncayo","1912"
"Jean-Joseph Cassanéa de Mondonville","1711"
"Stanisław Moniuszko","1819"
"Meredith Monk","1942"
"Thelonious Monk","1917"
"Georg Matthias Monn","1717"
"Pierre-Alexandre Monsigny","1729"
"Ricardo Montaner","1957"
"Philippe de Monte","1521"
"Michel Pignolet de Montéclair","1667"
"Italo Montemezzi","1875"
"José Ángel Montero","1832"
"Claudio Monteverdi","1567"
"Giulio Cesare Monteverdi","1573"
"Vittorio Monti","1868"
"Xavier Montsalvatge","1912"
"Douglas Moore","1893"
"Cristóbal de Morales","1500"
"Robert Moran","1937"
"Paul Moravec","1957"
"Jean-Baptiste Moreau","1656"
"Justin Morgan","1747"
"Jean-Baptiste Morin","1677"
"Francesco Morlacchi","1784"
"Thomas Morley","1557"
"Giorgio Moroder","1940"
"Jerome Moross","1913"
"Steve Morse","1954"
"Ennio Morricone","1928"
"Jelly Roll Morton","1890"
"Robert Morton","1430"
"Ignaz Moscheles","1794"
"Alexander Mosolov","1900"
"Mihály Mosonyi","1815"
"Moritz Moszkowski","1854"
"Felix Mottl","1856"
"Pierre Moulu","1484"
"Jean-Joseph Mouret","1682"
"Georges Moustaki","1934"
"Charles Mouton","1626"
"Jean Mouton","1459"
"Franz Xaver Mozart","1791"
"Leopold Mozart","1719"
"Wolfgang Amadeus Mozart","1756"
"Jean-Baptiste Moyne","1751"
"Alexander Moyzes","1906"
"Robert Muczynski","1929"
"Alonso Mudarra","1510"
"Georg Muffat","1653"
"Gottlieb Muffat","1690"
"Nico Muhly","1981"
"Dominic Muldowney","1952"
"August Eberhard Müller","1767"
"Wenzel Müller","1767"
"Jan Müller-Wieland","1966"
"Rexho Mulliqi","1923"
"Gráinne Mulvey","1966"
"John Mundy","1555"
"William Mundy","1528"
"Tristan Murail","1947"
"Santiago de Murcia","1673"
"Gilles Mureau","1450"
"Franz Xaver Murschhauser","1663"
"Roberto Musci","1956"
"Thea Musgrave","1928"
"Modest Mussorgsky","1839"
"Johann Gottfried Müthel","1728"
"Gordon Mumma","1935"
"Ian Munro","1963"
"Nikolai Myaskovsky","1881"
"Stanley Myers","1930"
"Josef Mysliveček","1737"
"François Joseph Naderman","1781"
"Conlon Nancarrow","1912"
"Giovanni Bernardino Nanino","1560"
"Eduard Nápravník","1839"
"Pietro Nardini","1722"
"Peter Nardone","1965"
"James Nares","1715"
"Luis de Narváez","1526"
"Ugo Nastrucci","1953"
"Isaac Nathan","1792"
"Jacques-Christophe Naudot","1690"
"Johann Gottlieb Naumann","1741"
"Juan de Navas","1650"
"Lior Navok","1971"
"Ernesto Nazareth","1863"
"José de Nebra","1702"
"Oskar Nedbal","1874"
"Christian Gottlob Neefe","1748"
"Cesare Negri","1535"
"Marcantonio Negri","1624"
"Sarah Nemtsov","1980"
"Alberto Nepomuceno","1864"
"Johann Baptist Georg Neruda","1707"
"Viktor Nessler","1841"
"Sigismund von Neukomm","1778"
"Georg Neumark","1621"
"Alfred Newman","1900"
"Chris Newman","1958"
"Christoph Nichelmann","1717"
"Sydney Nicholson","1875"
"Edmund Nick","1891"
"Otto Nicolai","1810"
"Louis Niedermeyer","1802"
"Carl Nielsen","1865"
"Ludolf Nielsen","1876"
"Tage Nielsen","1929"
"Joy Nilo","1970"
"Anders Nilsson composer","1954"
"Alessandro Nini","1805"
"Ninot le Petit","1500"
"Tomohito Nishiura","1973"
"Guillaume-Gabriel Nivers","1632"
"Sten Njurling","1892"
"Yuji Nomi","1958"
"Luigi Nono","1924"
"Anthoni van Noordt","1619"
"Erik Norby","1936"
"Arne Nordheim","1931"
"Rikard Nordraak","1842"
"Per Nørgård","1932"
"Ib Nørholm","1931"
"Andrew Norman","1979"
"Thomas Norris","1741"
"Serge Noskov","1956"
"Vítězslav Novák","1870"
"Ivor Novello","1893"
"Vincent Novello","1781"
"Franz Nikolaus Novotny","1743"
"Johannes Nucius","1556"
"Francisco Núñez","1965"
"Patrick Nunn","1969"
"Ervin Nyíregyházi","1903"
"Michael Nyman","1944"
"Knut Nystedt","1915"
"Jacob Obrecht","1457"
"Johannes Ockeghem","1410"
"Martin O'Donnell","1955"
"Jacques Offenbach","1819"
"Will Ogdon","1921"
"Tale Ognenovski","1922"
"Maurice Ohana","1913"
"Hisato Ohzawa","1907"
"Mike Oldfield","1953"
"Carolina Baroness Nairne","1766"
"Pauline Oliveros","1932"
"Otto Olsson","1879"
"Joseph O'Neill","1988"
"George Onslow","1784"
"Cornélie van Oosterzee","1863"
"Chris Opperman","1978"
"Mathilda d'Orozco","1796"
"Julián Orbón","1925"
"Karl von Ordoñez","1734"
"Cecilie Ore","1954"
"Tarik O'Regan","1978"
"Carl Orff","1895"
"Giuseppe Maria Orlandini","1676"
"Leo Ornstein","1893"
"Aniceto Ortega","1825"
"Léon Orthel","1905"
"Marbrianus de Orto","1460"
"Riz Ortolani","1931"
"Alex Otterlei","1968"
"Georg Österreich","1664"
"Willy Ostijn","1913"
"Henrique Oswald","1852"
"James Oswald","1711"
"Hans Otte","1926"
"Willem van Otterloo","1907"
"Cristóbal Oudrid","1825"
"Frederick Ouseley","1825"
"Morfydd Owen","1891"
"Etienne Ozi","1754"
"Luis de Pablo","1930"
"Charles Theodore Pachelbel","1690"
"Johann Pachelbel","1653"
"Wilhelm Hieronymus Pachelbel","1685"
"Giovanni Pacini","1796"
"Fredrik Pacius","1809"
"Cornelis Thymenszoon Padbrué","1592"
"Martijn Padding","1956"
"Steen Pade","1956"
"Ignacy Jan Paderewski","1860"
"Juan Gutiérrez de Padilla","1590"
"Ferdinando Paer","1771"
"Niccolò Paganini","1782"
"John Knowles Paine","1839"
"James Paisible","1656"
"Giovanni Paisiello","1740"
"Antonio Palella","1692"
"Giovanni Pierluigi da Palestrina","1525"
"Eudenice V. Palaruan","1968"
"Zakaria Paliashvili","1871"
"Benedetto Pallavicino","1551"
"Carlo Pallavicino","1630"
"Jan Gerard Palm","1831"
"Rudolph Palm","1880"
"John Palm","1885"
"Jacobo Palm","1887"
"Selim Palmgren","1878"
"Leonhard Päminger","1495"
"Giovanni Antonio Pandolfi Mealli","1630"
"Andrzej Panufnik","1914"
"Roxanna Panufnik","1968"
"Jorma Panula","1930"
"Evangelos Odysseas Papathanassiou","1943"
"Gérard Pape","1955"
"Salvatore Pappalardo","1817"
"Pietro Domenico Paradisi","1707"
"Maria Theresa von Paradis","1759"
"Paul Paray","1886"
"Claudio Pari","1574"
"Maria Hester Park","1775"
"Horatio Parker","1863"
"Hubert Parry","1848"
"Michael Parsons","1938"
"Robert Parsons","1535"
"Arvo Pärt","1935"
"Harry Partch","1901"
"Thomas Pasatieri","1945"
"Vasily Pashkevich","1742"
"Marc'Antonio Pasqualini","1614"
"Bernardo Pasquini","1637"
"Pierre Passereau","1509"
"Georg von Pasterwitz","1730"
"Robert Paterson","1970"
"Carlos Patiño","1600"
"Paul Patterson","1947"
"Paul I Esterházy of Galántha","1635"
"Jiří Pauer","1919"
"Stephen Paulus","1947"
"Conrad Paumann","1410"
"Alla Pavlova","1952"
"Anthony Payne","1936"
"Juan Carlos Paz","1901"
"Mogens Pedersøn","1583"
"Carlo Pedini","1956"
"Teodorico Pedrini","1671"
"Carlo Pedrotti","1817"
"Martin Peerson","1571"
"Flor Peeters","1903"
"Dora Pejačević","1885"
"Bartłomiej Pękiel","1670"
"Georgs Pelēcis","1947"
"Jorge Peña Hen","1928"
"Francisco de Peñalosa","1470"
"James Penberthy","1917"
"Krzysztof Penderecki","1933"
"Tomaž Pengov","1949"
"Ernst Pepping","1901"
"Johann Christoph Pepusch","1667"
"Davide Perez","1711"
"Juan Pérez de Gijón","1460"
"Giovanni Battista Pergolesi","1710"
"Jacopo Peri","1561"
"Scott Perkins","1980"
"George Perle","1915"
"François-Louis Perne","1772"
"Lorenzo Perosi","1872"
"Pérotin","1190"
"William P. Perry","1930"
"Giuseppe Persiani","1799"
"Vincent Persichetti","1915"
"Giacomo Antonio Perti","1661"
"Giovanni Battista Pescetti","1704"
"Michele Pesenti","1470"
"Oto Pestner","1956"
"Emile Pessard","1843"
"Johann Friedrich Peter","1746"
"Norbert Walter Peters","1954"
"David Petersen","1651"
"Wilhelm Petersen","1890"
"Wilhelm Peterson-Berger","1867"
"Goffredo Petrassi","1904"
"Errico Petrella","1813"
"Albena Petrovic-Vratchanska","1965"
"Allan Pettersson","1911"
"Christian Petzold","1677"
"Paul Peuerl","1570"
"Andreas Pevernage","1542"
"Johann Christoph Pez","1664"
"Johann Christoph Pezel","1639"
"Augustin Pfleger","1635"
"Hans Pfitzner","1869"
"Ferdinand Pfohl","1862"
"P. Q. Phan","1962"
"Barrington Pheloung","1954"
"Anne Danican Philidor","1681"
"François-André Danican Philidor","1726"
"Philip the Chancellor","1160"
"Michel Philippot","1925"
"Art Phillips","1955"
"Peter Philips","1560"
"Dominique Phinot","1510"
"Carlo Alfredo Piatti","1822"
"Ástor Piazzolla","1921"
"Giovanni Picchi","1571"
"Alessandro Piccinini","1566"
"Niccolò Piccinni","1728"
"Wenzel Pichl","1741"
"John Pickard","1963"
"Tobias Picker","1954"
"Johann Gottfried Piefke","1815"
"Gabriel Pierné","1863"
"Maestro Piero","1300"
"Willem Pijper","1894"
"Mario Pilati","1903"
"Francis Pilkington","1565"
"Daniel Pinkham","1923"
"Maria Teresa Agnesi Pinottini","1720"
"George Pinto","1785"
"Matthias Pintscher","1971"
"Nicola Piovani","1946"
"Matthaeus Pipelare","1450"
"Bernardo Pisano","1490"
"Johann Georg Pisendel","1687"
"Francesco Antonio Pistocchi","1659"
"Walter Piston","1894"
"Thomas Pitfield","1903"
"Giuseppe Ottavio Pitoni","1657"
"Johann Peter Pixis","1788"
"Ildebrando Pizzetti","1880"
"Joan Baptista Pla","1720"
"Robert Planquette","1848"
"Peter Planyavsky","1947"
"Pietro Platania","1828"
"Giovanni Benedetto Platti","1697"
"Ignaz Pleyel","1757"
"John Plummer","1410"
"Ludvík Podéšť","1921"
"David Pohle","1624"
"František Xaver Pokorný","1729"
"Poldowski","1879"
"Carlo Francesco Pollarolo","1653"
"Ignazio Pollice","1684"
"Doc Pomus","1925"
"Manuel Ponce","1882"
"Amilcare Ponchielli","1834"
"Marcel Poot","1901"
"Enno Poppe","1969"
"David Popper","1843"
"Nicola Porpora","1686"
"Costanzo Porta","1529"
"Giovanni Porta","1675"
"Cole Porter","1891"
"Quincy Porter","1897"
"Rachel Portman","1960"
"Marcos Portugal","1762"
"Isaac Posch","1591"
"Edouard Potjes","1860"
"Cipriani Potter","1792"
"Francis Poulenc","1899"
"Henri Pousseur","1929"
"Jonathan Powell","1969"
"Mel Powell","1923"
"Leonel Power","1370"
"Gerhard Präsent","1957"
"Ferdinand Praeger","1815"
"Hieronymus Praetorius","1560"
"Jacob Praetorius","1586"
"Michael Praetorius","1571"
"Luca Antonio Predieri","1688"
"Zbigniew Preisner","1955"
"Thomas Preston","1559"
"André Previn","1929"
"Florence Price","1887"
"Maui Dalvanius Prime","1948"
"Alfred Prinz","1930"
"Johannes Prioris","1460"
"Giovanni Priuli","1575"
"Simon Proctor","1959"
"Sergei Prokofiev","1891"
"Francesco Provenzale","1624"
"Peter Przystaniak","1956"
"John Psathas","1966"
"Giacomo Puccini","1858"
"Gaetano Pugnani","1731"
"Cesare Pugni","1802"
"Raoul Pugno","1852"
"Joan Pau Pujol","1570"
"Johannes Pullois","1443"
"Giovanni Punto","1746"
"Daniel Purcell","1664"
"Henry Purcell","1659"
"Kevin Puts","1972"
"Veli-Matti Puumala","1965"
"Pycard","1410"
"Qu Xiaosong","1952"
"Qu Xixian","1919"
"Johannes de Quadris","1410"
"Paolo Quagliati","1555"
"Johann Joachim Quantz","1697"
"Joseph Quesnel","1746"
"Alfred Quidant","1815"
"Roger Quilter","1877"
"Marie-Anne-Catherine Quinault","1695"
"Lucia Quinciani","1566"
"Marcel Quinet","1915"
"Daniel Patrick Quinn","1981"
"Manuel Quiroga","1892"
"Manuel José de Quirós","1690"
"Dick Raaijmakers","1930"
"Henri Rabaud","1873"
"Alexandre Rabinovitch-Barakovsky","1945"
"Folke Rabe","1935"
"Peer Raben","1940"
"Sergei Rachmaninoff","1873"
"Charles Racquet","1597"
"Mikołaj Radomski","1400"
"Jean-Théodore Radoux","1835"
"Horațiu Rădulescu","1942"
"Joachim Raff","1822"
"Assi Rahbani","1923"
"Mansour Rahbani","1925"
"A. R. Rahman","1966"
"Pietro Raimondi","1786"
"Ralph Rainger","1901"
"Tomi Räisänen","1976"
"André Raison","1640s"
"Yuvan Shankar Raja","1979"
"Thomas Rajna","1928"
"Ľudovít Rajter","1906"
"Jean-Philippe Rameau","1683"
"Ariel Ramírez","1921"
"Mattio Rampollini","1497"
"Robert Ramsey","1590"
"Shulamit Ran","1949"
"Bernard Rands","1934"
"Ture Rangström","1884"
"György Ránki","1907"
"Günter Raphael","1903"
"Andreas Raselius","1563"
"Francesco Rasi","1574"
"Karl Aage Rasmussen","1947"
"Valentin Rathgeber","1682"
"Hermann Raupach","1728"
"Einojuhani Rautavaara","1928"
"Maurice Ravel","1875"
"Thomas Ravenscroft","1582"
"Alan Rawsthorne","1905"
"Emma Marcy Raymond","1856"
"Fred Raymond","1900"
"Ray Reach","1948"
"François Rebel","1701"
"Jean-Féry Rebel","1666"
"João Lourenço Rebelo","1610"
"John Redford","1534"
"Hans Redlich","1903"
"Bernd Redmann","1965"
"Thomas German Reed","1817"
"William Reed","1859"
"Emil Reesen","1887"
"Max Reger","1873"
"Johannes Regis","1425"
"Jacob Regnart","1540"
"Giulio Regondi","1822"
"Karin Rehnqvist","1957"
"Steve Reich","1936"
"Anton Reicha","1770"
"Josef Reicha","1752"
"Johann Friedrich Reichardt","1752"
"Antonín Reichenauer","1694"
"Aribert Reimann","1936"
"Jan Adam Reincken","1643"
"Alexander Reinagle","1756"
"Carl Reinecke","1824"
"Heinrich Reinhardt","1865"
"Carl Martin Reinthaler","1822"
"Niki Reiser","1958"
"Carl Gottlieb Reissiger","1798"
"Sergio Rendine","1954"
"Leon René","1902"
"Dino Residbegovic","1975"
"Ottorino Respighi","1879"
"Julius Reubke","1834"
"Peter Reulein","1966"
"Esaias Reusner","1636"
"Georg Reutter","1656"
"Georg Reutter II","1708"
"Hermann Reutter","1900"
"Silvestre Revueltas","1899"
"Cemal Reşit Rey","1904"
"Jean-Baptiste Rey","1734"
"Ernest Reyer","1823"
"Alfred Reynolds","1884"
"Roger Reynolds","1934"
"Emil von Reznicek","1860"
"Georg Rhau","1488"
"Josef Rheinberger","1839"
"Emilios Riadis","1885"
"Federico Ricci","1809"
"Luigi Ricci","1805"
"Cesarina Ricci de Tingoli","1573"
"Giovanni Battista Riccio","1609"
"Jean Richafort","1480"
"Ferdinand Tobias Richter","1651"
"Franz Xaver Richter","1709"
"Max Richter","1966"
"Frank Ricotti","1949"
"Wallingford Riegger","1885"
"Ferdinand Ries","1784"
"Vittorio Rieti","1898"
"Julius Rietz","1812"
"Giovanni Antonio Rigatti","1613"
"Henri-Joseph Rigel","1741"
"Vincenzo Righini","1756"
"Wolfgang Rihm","1952"
"Knudåge Riisager","1897"
"Richard Rijnvos","1964"
"Terry Riley","1935"
"Vincenzo da Rimini","1400"
"Nikolai Rimsky-Korsakov","1844"
"Christian Heinrich Rinck","1770"
"Philipp Jakob Riotte","1776"
"Albert de Rippe","1500"
"André Ristic","1972"
"Giovanni Alberto Ristori","1692"
"August Gottfried Ritter","1811"
"Johnny Rivers","1942"
"Jean Rivier","1896"
"Angela Ro Ro","1949"
"Curtis Roads","1951"
"François Roberday","1624"
"Pierre Robert","1618"
"Harry Robertson","1932"
"Thomas Robinson","1560"
"George Rochberg","1918"
"August Röckel","1814"
"Arturo Rodas","1954"
"Pierre Rode","1774"
"Nile Rodgers","1952"
"Richard Rodgers","1902"
"Rocco Rodio","1535"
"Joaquín Rodrigo","1901"
"Robert Xavier Rodriguez","1946"
"Jean Roger-Ducasse","1873"
"Riccardo Rognoni","1550"
"Philippe Rogier","1561"
"Jean Rogister","1879"
"Eduard Rohde","1828"
"Alexis Roland-Manuel","1891"
"Amadeo Roldán","1900"
"James Rolfe","1961"
"Alessandro Rolla","1757"
"Antonio Rolla","1798"
"Johan Helmich Roman","1694"
"Antonius Romanus","1414"
"Andreas Romberg","1767"
"Bernhard Romberg","1767"
"Sigmund Romberg","1887"
"Matheo Romero","1575"
"Johann Theodor Roemhildt","1684"
"Julius Röntgen","1855"
"William Michael Rooke","1794"
"Joseph Willard Roosevelt","1918"
"Guy Ropartz","1864"
"Cipriano de Rore","1516"
"Ned Rorem","1923"
"Juventino Rosas","1868"
"David Rose","1910"
"Thomas Roseingrave","1688"
