"Composer","DOB"
"William Thomas Best","1826"
"Bruno Bettinelli","1913"
"Frank Michael Beyer","1928"
"Johanna Beyer","1888"
"Sandeep Bhagwati","1963"
"Vishal Bhardwaj","1960"
"Oscar Bianchi","1975"
"Francesco Bianchi","1752"
"Frederick Bianchi","1954"
"Lycia de Biase Bidart","1910"
"Gillian Bibby","1945"
"Carl Heinrich Biber","1681"
"Heinrich Ignaz Franz von Biber","1644"
"Franz Biebl","1906"
"Michael von Biel","1939"
"Auguste van Biene","1849"
"Diogenio Bigaglia","1676"
"Marie Bigot","1786"
"Beatriz Bilbao","1951"
"Georg Christoph Biller","1955"
"William Billings","1746"
"Elizabeth Weichsell Billington","1768"
"Alberto Bimboni","1882"
"Gilles Binchois","1400"
"Abraham Binder","1895"
"Ronald Binge","1910"
"Jocelyne Binet","1923"
"Judith Bingham","1952"
"Seth Bingham","1882"
"Stanislav Binički","1872"
"Antonio Bioni","1698"
"Wenzel Raimund Birck","1718"
"Arthur Bird","1856"
"Johann Adam Birkenstock","1687"
"Renate Birnstein","1946"
"Harrison Birtwistle","1934"
"Chester Biscardi","1948"
"Hermann Bischoff","1868"
"Henry Bishop","1786"
"Próspero Bisquertt Prado","1881"
"Roberta Bitgood","1908"
"Marcel Bitsch","1921"
"Iva Bittová","1958"
"Georges Bizet","1838"
"Boris Blacher","1903"
"Richard Blackford","1954"
"Easley Blackwood Jr.","1933"
"Helen Blackwood","1807"
"Leopoldine Blahetka","1809"
"Eubie Blake","1883"
"William Burdine Blake Sr.","1852"
"Adolphe Blanc","1828"
"Blanche of Castile","1188"
"Emile-Robert Blanchet","1877"
"Olga De Blanck Martín","1916"
"Maria Theresa Bland","1769"
"Frédéric Blasius","1758"
"Michel Blavet","1700"
"Theo Bleckmann","1966"
"Herbert Blendinger","1936"
"Carla Bley","1938"
"Arthur Bliss","1891"
"Marc Blitzstein","1905"
"André Bloch","1873"
"Augustyn Bloch","1929"
"Ernest Bloch","1880"
"Vilém Blodek","1834"
"Karl-Birger Blomdahl","1916"
"Patricia Blomfield Holt","1910"
"John Blow","1649"
"Felix Blumenfeld","1863"
"Sonia Bo","1960"
"Howard Boatwright","1918"
"Luigi Boccherini","1743"
"Nicolas Bochsa","1789"
"Berta Bock","1857"
"Philipp Friedrich Böddecker","1607"
"Erhard Bodenschatz","1576"
"Josina van Aerssen","1733"
"Joseph Bodin de Boismortier","1689"
"Sebastian Bodinus","1700"
"Seóirse Bodley","1933"
"Sylvie Bodorová","1954"
"Jack Body","1944"
"August de Boeck","1865"
"Ernst Boehe","1880"
"Konrad Boehmer","1941"
"Jorge Boehringer","1975"
"Léon Boëllmann","1862"
"Alexandre Pierre François Boëly","1785"
"Antoine Boësset","1586"
"Jean-Baptiste Boësset","1614"
